reportable_comp,subsection,state,formation_yr,assets,liabilities,expenses,revenue,state_median_income,ntee_letter,total_ex_comp_per_company,percent_of_total_ex_comp,voting_memb_ct,voting_indepmemb_ct,employee_tot_ct,volunteer_tot_ct,salaries_expense_tot_curyr,label
177199.0,501(c)(12),MO,1938,172767582,85881713.0,67257867.0,71839062.0,53578,W,534535,0.3315012113332149,9,9,85,0,994732,2
200662.0,501(c)(12),MO,1938,172767582,85881713.0,67257867.0,71839062.0,53578,W,534535,0.37539543715565865,9,9,85,0,994732,2
133663.0,501(c)(5),MO,1890,4235877,678915.0,2455602.0,2994143.0,53578,J,402534,0.33205393830086405,9,9,11,0,1189141,3
132711.0,501(c)(5),MO,1890,4235877,678915.0,2455602.0,2994143.0,53578,J,402534,0.32968892068744504,9,9,11,0,1189141,3
136160.0,501(c)(5),MO,1890,4235877,678915.0,2455602.0,2994143.0,53578,J,402534,0.33825714101169096,9,9,11,0,1189141,3
92778.0,501(c)(5),MO,1972,2188878,8197.0,2523210.0,2801145.0,53578,J,439914,0.21090031233377432,11,6,8,0,898161,0
66909.0,501(c)(5),MO,1972,2188878,8197.0,2523210.0,2801145.0,53578,J,439914,0.15209563687448002,11,6,8,0,898161,0
96169.0,501(c)(5),MO,1972,2188878,8197.0,2523210.0,2801145.0,53578,J,439914,0.21860863714271425,11,6,8,0,898161,0
92995.0,501(c)(5),MO,1972,2188878,8197.0,2523210.0,2801145.0,53578,J,439914,0.2113935905654287,11,6,8,0,898161,0
91063.0,501(c)(5),MO,1972,2188878,8197.0,2523210.0,2801145.0,53578,J,439914,0.2070018230836027,11,6,8,0,898161,0
209429.0,501(c)(12),MO,1939,149341171,34365153.0,58434915.0,62765643.0,53578,W,209429,1.0,9,9,84,0,6467470,3
127800.0,501(c)(5),MO,1911,11856768,754167.0,3455176.0,3225171.0,53578,J,648447,0.19708626919393565,5,5,14,0,1423319,7
127800.0,501(c)(5),MO,1911,11856768,754167.0,3455176.0,3225171.0,53578,J,648447,0.19708626919393565,5,5,14,0,1423319,7
137247.0,501(c)(5),MO,1911,11856768,754167.0,3455176.0,3225171.0,53578,J,648447,0.21165492322425733,5,5,14,0,1423319,7
127800.0,501(c)(5),MO,1911,11856768,754167.0,3455176.0,3225171.0,53578,J,648447,0.19708626919393565,5,5,14,0,1423319,7
127800.0,501(c)(5),MO,1911,11856768,754167.0,3455176.0,3225171.0,53578,J,648447,0.19708626919393565,5,5,14,0,1423319,7
95598.0,501(c)(5),MO,1972,1106225,4143.0,1535826.0,1696112.0,53578,J,259167,0.3688664066026925,7,0,43,0,788364,3
69289.0,501(c)(5),MO,1972,1106225,4143.0,1535826.0,1696112.0,53578,J,259167,0.267352710800372,7,0,43,0,788364,3
94280.0,501(c)(5),MO,1972,1106225,4143.0,1535826.0,1696112.0,53578,J,259167,0.3637808825969356,7,0,43,0,788364,3
205643.0,501(c)(19),MO,1899,291763327,187722161.0,99261258.0,102350802.0,53578,W,980936,0.20963956873842945,62,57,241,3000,16744006,2
233914.0,501(c)(19),MO,1899,291763327,187722161.0,99261258.0,102350802.0,53578,W,980936,0.2384600014679857,62,57,241,3000,16744006,2
191573.0,501(c)(19),MO,1899,291763327,187722161.0,99261258.0,102350802.0,53578,W,980936,0.19529612533335508,62,57,241,3000,16744006,2
139453.0,501(c)(19),MO,1899,291763327,187722161.0,99261258.0,102350802.0,53578,W,980936,0.14216319923012308,62,57,241,3000,16744006,2
155063.0,501(c)(19),MO,1899,291763327,187722161.0,99261258.0,102350802.0,53578,W,980936,0.15807657176411102,62,57,241,3000,16744006,2
55290.0,501(c)(19),MO,1899,291763327,187722161.0,99261258.0,102350802.0,53578,W,980936,0.056364533465995736,62,57,241,3000,16744006,2
92542.0,501(c)(6),MO,1919,2904397,558187.0,3184942.0,2989031.0,53578,S,266578,0.3471479266856229,31,31,29,1000,1761829,3
174036.0,501(c)(6),MO,1919,2904397,558187.0,3184942.0,2989031.0,53578,S,266578,0.6528520733143771,31,31,29,1000,1761829,3
121080.0,501(c)(3),MO,1939,9430596,99007.0,3459614.0,3466788.0,53578,O,121080,1.0,33,33,166,5989,2066875,1
161359.0,501(c)(12),MO,1946,71622851,32809810.0,29707200.0,29707194.0,53578,W,161359,1.0,9,9,43,0,307926,3
55736.0,501(c)(12),MO,1946,71857103,44840891.0,19618524.0,19618524.0,53578,W,115497,0.4825753049862767,9,9,50,0,0,4
